sample_id,inference_ms,db_write_ms
1310,26.07,2.2
1311,26.57,3.09
1312,26.72,3.88
1313,26.23,2.78
1314,26.13,2.23
1315,28.86,1.32
1316,26.8,1.45
1317,25.72,1.97
1318,26.22,1.74
1319,25.86,2.07
1320,27.27,2.28
1321,26.45,2.75
1322,28.42,2.16
1323,25.82,2.7
1324,25.86,2.28
1325,26.84,1.01
1326,25.83,1.53
1327,26.73,2.1
1328,26.23,1.37
1329,25.65,2.83
1330,26.72,4.11
1331,27.17,3.62
1332,27.14,2.04
1333,27.22,4.04
1334,28.1,2.36
1335,28.14,1.94
1336,26.51,1.74
1337,26.69,1.97
1338,27.71,1.91
1339,27.7,2.38
1340,28.54,2.37
1341,27.01,2.23
1342,27.4,2.65
1343,25.99,3.58
1344,26.98,3.25
1345,26.86,1.23
1346,26.4,0.8
1347,27.82,3.23
1348,26.03,1.29
1349,27.36,2.03
1350,28.27,1.39
1351,25.55,1.08
1352,26.4,2.76
