sample_id,inference_ms,db_write_ms
110,0.79,0.22
111,0.82,0.22
112,0.79,0.21
113,0.8,0.21
114,0.83,0.21
115,0.83,0.21
116,0.81,0.21
117,0.78,0.21
118,0.8,0.22
119,0.79,0.22
120,0.79,0.22
121,0.8,0.21
122,0.8,0.22
123,0.8,0.22
124,0.8,0.22
125,0.83,0.21
126,0.8,0.21
127,0.8,0.21
128,0.85,0.22
129,0.84,0.21
130,0.8,0.21
131,0.79,0.21
132,0.83,0.21
133,0.83,0.21
134,0.79,0.22
135,0.79,0.21
136,0.84,0.21
137,0.88,0.22
138,0.8,0.21
139,0.8,0.22
140,0.86,0.21
141,0.78,0.22
142,0.8,0.21
143,0.8,0.25
144,0.81,0.21
145,0.8,0.22
146,0.79,0.22
147,0.81,0.22
148,0.82,0.22
149,0.83,0.22
150,0.79,0.22
151,0.79,0.22
152,0.84,0.21
153,0.79,0.21
154,0.83,0.22
155,0.83,0.22
156,0.8,0.22
157,0.79,0.21
158,0.79,0.22
159,0.8,0.25
160,0.79,0.22
161,0.79,0.22
162,0.79,0.21
163,0.69,0.21
164,0.71,0.23
165,0.77,0.22
166,0.68,2.18
167,0.71,0.2
168,0.73,0.22
169,0.7,2.14
170,0.82,0.21
171,0.86,0.22
172,0.84,0.26
173,0.85,0.22
174,0.82,0.22
175,0.87,0.22
176,0.82,0.22
177,0.83,0.22
178,0.82,0.22
179,0.82,0.22
180,0.83,0.22
181,0.89,0.21
182,0.83,0.22
183,0.91,0.22
184,0.85,0.25
185,0.86,0.22
186,0.88,0.22
187,0.79,0.21
188,0.79,0.21
189,0.79,0.25
190,0.82,0.21
191,0.81,0.21
192,0.82,0.22
193,0.84,0.21
194,0.82,0.21
195,0.83,0.22
196,0.83,0.22
197,0.86,0.22
198,0.81,0.22
199,0.83,0.22
200,1.02,0.25
201,0.96,0.26
202,0.82,0.22
203,0.81,0.22
204,0.81,0.22
205,0.81,0.22
206,0.81,0.22
207,0.8,0.22
208,0.8,0.23
209,0.83,0.22
210,0.8,0.22
211,1.04,0.3
212,0.76,0.25
213,1.3,0.43
214,0.87,0.29
215,0.88,0.3
216,0.92,0.24
217,0.75,0.22
218,1.06,0.24
219,0.85,0.26
220,0.85,0.22
221,0.85,0.22
222,0.77,0.21
223,0.79,0.21
224,0.94,0.25
225,0.79,0.22
226,0.8,0.26
227,0.8,0.22
228,0.8,0.22
229,0.83,0.22
230,0.8,0.22
231,0.79,0.22
232,0.84,0.22
233,0.84,0.22
234,0.8,0.22
235,0.8,0.22
236,0.83,0.22
237,0.78,0.22
238,0.8,0.21
239,0.79,0.22
240,0.78,0.22
241,0.79,0.22
242,0.8,0.22
243,0.7,1.49
244,0.79,0.21
245,0.79,0.21
246,0.81,0.21
247,0.8,0.21
248,0.79,0.21
249,0.79,0.22
250,0.78,0.21
251,0.78,0.21
252,0.83,0.21
253,0.78,0.21
254,0.81,0.22
255,0.75,0.2
256,0.76,0.24
257,0.79,0.21
258,0.78,0.21
259,0.74,0.23
260,0.72,0.21
261,0.74,0.21
262,0.77,0.22
263,0.75,0.2
264,0.88,0.21
265,0.86,0.22
266,0.89,0.22
267,0.83,0.21
268,0.86,0.26
269,0.85,0.21
270,0.88,0.21
271,0.84,0.25
272,0.91,0.22
273,0.84,0.21
274,0.85,0.21
275,0.85,0.22
276,0.82,0.22
277,0.82,0.21
278,0.83,0.21
279,0.83,0.25
280,0.82,0.27
281,0.79,0.22
282,0.83,0.21
283,0.86,0.22
284,0.86,0.22
285,0.99,0.32
286,1.0,0.27
287,0.98,0.26
288,0.99,0.27
289,0.97,0.27
290,1.0,0.31
291,0.99,0.26
292,0.99,0.27
293,1.05,0.3
294,1.1,0.3
295,1.06,0.3
296,1.04,0.3
297,1.08,0.3
298,1.14,0.3
299,0.99,0.3
300,1.0,0.3
301,1.05,0.29
302,0.96,0.29
303,0.95,0.28
304,1.12,0.28
305,1.05,0.28
306,1.08,0.28
307,1.04,0.32
308,1.11,0.28
309,1.04,0.3
310,1.04,0.28
311,1.14,0.3
312,1.08,0.3
313,1.09,0.34
314,1.09,0.3
315,1.09,0.3
316,1.11,0.3
317,1.16,0.29
318,1.09,0.36
319,1.05,0.3
