sample_index,elapsed_hours,ram_mb,cpu_percent,ram_linear_trend_mb
595,148.75,6756.65,0.0,6741.45
596,149.0,6756.79,20.0,6741.45
597,149.25,6756.79,25.0,6741.45
598,149.5,6756.79,0.0,6741.45
599,149.75,6756.77,0.0,6741.45
600,150.0,6756.77,50.0,6741.45
601,150.25,6756.8,66.7,6741.45
602,150.5,6756.8,40.0,6741.45
603,150.75,6756.8,0.0,6741.45
604,151.0,6756.8,0.0,6741.46
605,151.25,6757.46,57.1,6741.46
606,151.5,6757.46,0.0,6741.46
607,151.75,6757.65,20.0,6741.46
608,152.0,6757.75,16.7,6741.46
609,152.25,6757.75,0.0,6741.46
610,152.5,6757.81,50.0,6741.46
611,152.75,6757.81,0.0,6741.46
612,153.0,6757.81,0.0,6741.46
613,153.25,6757.65,50.0,6741.46
614,153.5,6758.44,14.3,6741.46
615,153.75,6758.36,20.0,6741.46
616,154.0,6758.07,25.0,6741.46
617,154.25,6758.04,18.2,6741.46
618,154.5,6758.32,14.3,6741.46
619,154.75,6758.32,25.0,6741.46
620,155.0,6758.32,66.7,6741.46
621,155.25,6758.18,28.6,6741.47
622,155.5,6758.04,50.0,6741.47
623,155.75,6758.04,0.0,6741.47
624,156.0,6753.81,20.0,6741.47
625,156.25,6753.81,25.0,6741.47
626,156.5,6753.81,60.0,6741.47
627,156.75,6753.52,16.7,6741.47
628,157.0,6753.43,0.0,6741.47
629,157.25,6753.43,0.0,6741.47
630,157.5,6753.43,50.0,6741.47
631,157.75,6753.43,0.0,6741.47
632,158.0,6753.43,0.0,6741.47
633,158.25,6753.43,0.0,6741.47
634,158.5,6753.43,50.0,6741.47
635,158.75,6753.43,20.0,6741.47
636,159.0,6753.43,33.3,6741.47
637,159.25,6753.42,33.3,6741.48
638,159.5,6753.41,0.0,6741.48
639,159.75,6753.25,0.0,6741.48
640,160.0,6753.25,33.3,6741.48
641,160.25,6753.24,33.3,6741.48
642,160.5,6753.23,33.3,6741.48
643,160.75,6753.49,0.0,6741.48
644,161.0,6753.49,33.3,6741.48
645,161.25,6753.49,0.0,6741.48
646,161.5,6753.49,25.0,6741.48
647,161.75,6753.49,0.0,6741.48
648,162.0,6753.49,0.0,6741.48
649,162.25,6753.48,50.0,6741.48
650,162.5,6753.48,0.0,6741.48
651,162.75,6753.48,20.0,6741.48
652,163.0,6753.48,0.0,6741.48
653,163.25,6753.48,20.0,6741.48
654,163.5,6753.48,50.0,6741.49
655,163.75,6753.48,20.0,6741.49
656,164.0,6753.48,50.0,6741.49
657,164.25,6753.48,0.0,6741.49
658,164.5,6753.5,0.0,6741.49
659,164.75,6753.52,20.0,6741.49
660,165.0,6753.52,0.0,6741.49
661,165.25,6753.52,0.0,6741.49
662,165.5,6753.52,40.0,6741.49
663,165.75,6753.52,25.0,6741.49
664,166.0,6753.52,25.0,6741.49
665,166.25,6753.52,0.0,6741.49
666,166.5,6753.54,0.0,6741.49
667,166.75,6753.54,0.0,6741.49
668,167.0,6753.54,33.3,6741.49
669,167.25,6753.54,20.0,6741.49
670,167.5,6753.54,0.0,6741.49
671,167.75,6753.54,20.0,6741.5
672,168.0,6753.57,15.8,6741.5
673,168.25,6753.57,0.0,6741.5
674,168.5,6753.57,50.0,6741.5
675,168.75,6753.57,0.0,6741.5
676,169.0,6753.57,33.3,6741.5
677,169.25,6753.57,0.0,6741.5
678,169.5,6753.57,50.0,6741.5
679,169.75,6753.56,0.0,6741.5
680,170.0,6753.56,50.0,6741.5
681,170.25,6753.56,25.0,6741.5
682,170.5,6753.56,0.0,6741.5
683,170.75,6753.56,25.0,6741.5
684,171.0,6753.56,0.0,6741.5
685,171.25,6753.55,20.0,6741.5
686,171.5,6753.55,33.3,6741.5
687,171.75,6753.55,20.0,6741.51
